Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"LEGACY VILLA NUR/PRY SCHOOL, Alagbado",Privately owned,Ifako/Ijaiye,Nursery/Primary, , 0802 320 1211  /   0803 412 4082,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4066"",""Read more"")"
"LEMUEL NUR. PRY SCHOOL, Papa Mushin",Privately owned, Mushin,Nursery/Primary, ," 0802 304 9260,   0806 441 8654","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7270"",""Read more"")"
"LIBERTY BELLS NUR/PRY SCHOOL, Lekki",Privately owned,Eti-Osa,Nursery/Primary, libertybellsschools@gmail.com," 01-775 5849,  0803 308 6174,   0702 996 9851","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3108"",""Read more"")"
"LIFELINE CHILDREN SCHOOL, Agbowa Ikosi",Privately owned,Epe,Nursery/Primary, lfelineprivateschool@yahoo.com," 0807 405 3521, 0811 164 3312","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7189"",""Read more"")"
"LIFESPRING  MONTESSORI NUR/ PRY SCHOOL, Ikosi",Privately owned,Kosofe,Nursery/Primary, lifespringmontessori@yahoo.com," 0706 573 2543,  0803 367 3067","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49455"",""Read more"")"
"LIKEMINDERS FOUNDATION NUR. PRY SCHOOL, Meiran",Privately owned,Alimosho,Nursery/Primary, likemindersoi6@yahoo.com," 0805 695 9030, 0805 337 8203","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77208"",""Read more"")"
"LILLYWHITE NURSERY & PRIMARY SCHOOL, Ilupeju",Privately owned, Mushin,Nursery/Primary, lillywhiteschool@yahoo.com," 0802 303 5730,  0805 106 0869,       01-875 3415","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4417"",""Read more"")"
"LIN DAVES NURSERY/PRIMARY SCHOOL, Olodi-Apapa",Privately owned,Ajeromi LGA,Nursery/Primary, lindavesschool@gmail.com," 0803 335 2054, 0803 584 2608","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9983"",""Read more"")"
"LINFAG  NURSERY & PRIMARY SCHOOL, Tabon-Tabon",Privately owned,Agege,Nursery/Primary, ," 0803 345 8315,  0809 973 3854","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/66353"",""Read more"")"
"LINKSBOND COLLEGE, Elepe",Privately owned,Ikorodu,Nursery/Primary, linkbond-college@yahoo.com, 0806 371 3269,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7222"",""Read more"")"
"LINTONHALL HERITAGE SCHOOL, Akowonjo ",Privately owned,Alimosho,Nursery/Primary, info@lintonhallschools.com," 0703 600 2000,    0705 297 7366","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5491"",""Read more"")"
"LIRENI NURSERY/PRIMARY SCHOOL, Okokomaiko",Privately owned,Ojo,Nursery/Primary, agbojewilliams@yahoo.com, 0803 719 5796,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/51011"",""Read more"")"
"LITTLE HEARTS BEACON HILL INTERNATIONAL, Surulere",Privately owned,Surulere,Nursery/Primary, beaconhill_96@yahoo.com," 0803 304 0738, 0806 311 2511,  01-950 1741,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3434"",""Read more"")"
"LITTLE LIGHTS SCHOOL, Gowon Estate",Privately owned,Alimosho,Nursery/Primary, littlelight@yahoo.com," 0803 324 3359, 0802 333 0079","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9981"",""Read more"")"
"LITTLE SAINTS MONTESSORI SCHOOL, Ilupeju.",Privately owned, Mushin,Nursery/Primary, bukiosikoya@yahoo.com," 0803 305 1090,   0702 770 1684,   0803 552 2515","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3489"",""Read more"")"
"LITTLE STARS PRIVATE SCHOOL, Ogba",Privately owned, Ikeja,Nursery/Primary, futurestars4all@yahoo.co.uk," 0802 314 8981,    0816 828 7628","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3421"",""Read more"")"
"LIVELY NURSERY & PRIMARY SCHOOL, Agege",Privately owned,Agege,Nursery/Primary, primary.livelyschools@yahoo.com," 0815 819 0019,    0810, 083 5545","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3870"",""Read more"")"
"LIVINGSPRING MONTESSRI SCHOOL, Ilasamaja",Privately owned,Oshodi-Isolo,Nursery/Primary, livingspringeduserve@yahoo.com," 0802-344-4840, 0806-057-9942.","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3944"",""Read more"")"
"LIVNCHRIST PRIVATE SCHOOL, Surulere Rd.",Privately owned,Alimosho,Nursery/Primary, livnchristpvts@yahoo.com," 0803 302 7910,    0802 811 6914,   0802 329 0687,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3763"",""Read more"")"
"LIZZY DAY NUR & PRY SCHOOL, Sasa",Privately owned,Alimosho,Nursery/Primary, lade2310@yahoo.com," 0802 897 5656, 0802 339 9248","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6932"",""Read more"")"
"LOCAL AUTHORITY  PRIMARY SCHOOL,  Apa",State owned, Badagry ,Nursery/Primary, lapryschlapa@lagosschoolsonline.com, 0802 039 0449,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2202"",""Read more"")"
"LOCAL AUTHORITY NUR & PRY SCHOOL, Moba sea Beach",State owned,Ojo,Nursery/Primary, mseabeach@lagosschoolsonline.com," 0807 456 9500, 0802 831 9885","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10739"",""Read more"")"
"LOCAL AUTHORITY NUR & PRY SCHOOL, Muwo Tedi",State owned,Ojo,Nursery/Primary, , 0807 456 9451,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10740"",""Read more"")"
LOCAL AUTHORITY NUR. & PRY SCHOOL 1 Isasi,State owned,Ojo,Nursery/Primary, isasnidreal@lagosschoolsonline.com, 0803 573 8694,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10664"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL 2,  Kirikiri",State owned,Amuwo-Odofin,Nursery/Primary, lapryschkk2@lagosschoolsonline.com,"  0803 723 2045,   0803 562 6002","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2149"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL,  Ibeshe Sea Beach",State owned,Amuwo-Odofin,Nursery/Primary, laprysch.isb@lagosschoolsonline.com," 0803 205 9940,0807 457 3924","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/206"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL,  Ilase Sea",State owned,Amuwo-Odofin,Nursery/Primary, lailasesbeach@lagosschoolsonline.com," 0803 723 2045,0802 839 4066","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/210"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL,  Ilase Town",State owned,Amuwo-Odofin,Nursery/Primary, laschlaset@lagosschoolsonline.com," 0802 471 2245,   0807 457 3908,  0802 940 8379,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/217"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL,  Iyagbe",State owned,Amuwo-Odofin,Nursery/Primary, laprschiyabe@lagosschoolsonline.com," 08074574038,    0803 576 6608","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2176"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL,  Tomaro",State owned,Amuwo-Odofin,Nursery/Primary, tomladschool@lagosschoolsonline.com, 0806 069 4399,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/202"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHL, Muwo-Tedi",State owned,Amuwo-Odofin,Nursery/Primary, , 0813 953 3324,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/209"",""Read more"")"
LOCAL AUTHORITY NUR/PRY SCHOOL 2 Ilogbo-Elegba,State owned,Ojo,Nursery/Primary, laelegba@lagosschoolsonline.com," 0802 783 1183,  0807 456 9494","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2445"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHOOL I, ILOGBO-ELEGBA",State owned,Ojo,Nursery/Primary, lailogbo1@lagosschoolsonline.com," 0803 568 0479, 0807 456 9493","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2446"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHOOL, Alaguntan",State owned,Ojo,Nursery/Primary, localauthority@lagosschoolsonline.com, 0807 456 9484,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2451"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHOOL, IREWE",State owned,Ojo,Nursery/Primary, lauthorityirewe@lagosschoolsonline.com, 0803 942 7909  or  0708 652 7305,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2444"",""Read more"")"
"LOCAL AUTHORITY NUR/PRY SCHOOL, Okolundu",State owned,Ojo,Nursery/Primary, lapryschlokolundu@lagosschoolsonline.com," 0817 863 3428, 0807 456 9501","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2489"",""Read more"")"
LOCAL AUTHORITY NUR/PRY SCHOOL. Iba,State owned,Ojo,Nursery/Primary, lapryschiba@lagosschoolsonline.com, 0807 456 9491  ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2448"",""Read more"")"
"LOCAL AUTHORITY NURSERY & PRIMARY SCHOOL, Etegbin Town",State owned,Ojo,Nursery/Primary, etegbin@lagosschoolsonline.com," 0802 384 9662,   0807 456 9490","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10719"",""Read more"")"
"LOCAL AUTHORITY NURSERY AND PRIMARY SCHOOL II, Isashi",State owned,Ojo,Nursery/Primary, laisasi@lagosschoolsonline.com," 0802 839  8509, 0807 456 9499","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2508"",""Read more"")"
LOCAL AUTHORITY NURSERY/PRIMARY SCHOOL Taffii Awori,State owned,Ojo,Nursery/Primary, lataffiawori@lagosschoolsonline.com," 0802 371 1228, 0807 456 9509","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2512"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL 1, Ajara",State owned, Badagry ,Nursery/Primary, lasch1ajara@lagosschoolsonline.com," 0805 724 15021  or  0702 928 2778,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/419"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL 1A, Amukoko",State owned,Ajeromi LGA,Nursery/Primary, , 08029057598,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/111"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL 2,  Ajara",State owned, Badagry ,Nursery/Primary, laajara2@lagosschoolsonline.com, 0805 560 5389,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/422"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL ERA-AWORI, Ojo",State owned,Ojo,Nursery/Primary, ojomoladeolusola4real@lagosschoolsonline.com," 0703 137 2384,  0807 456 9486  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2450"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL I, Ayetoro",State owned,Ajeromi LGA,Nursery/Primary, laprimaryschool1ayetoro@lagosschoolsonline.com," 0805 537 7125,0810 357 7542","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2235"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL IB, Amukoko",State owned,Ajeromi LGA,Nursery/Primary, lanpsch1b@lagosschoolsonline.com, 08023796278,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/103"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL II, Amukoko",State owned,Ajeromi LGA,Nursery/Primary, la2amukoko@lagosschoolsonline.com, 08029057598,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/130"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL II, Ayetoro",State owned,Ajeromi LGA,Nursery/Primary, la2ayetoro@lagosschoolsonline.com, 08034731852,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/123"",""Read more"")"
LOCAL AUTHORITY PRIMARY SCHOOL Ijagemo,State owned,Ojo,Nursery/Primary, LASCHOOLIJAGEMO-AWORI@lagosschoolsonline.com, 0807 669 8542,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2447"",""Read more"")"
LOCAL AUTHORITY PRIMARY SCHOOL S/B,State owned,Ojo,Nursery/Primary, , 0805-832-2484,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2488"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Akarakumo",State owned, Badagry ,Nursery/Primary, lapsakmo@lagosschoolsonline.com," 0803 491 5356,   0807 456 9134,   0702 928 2794,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/421"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Badagry",State owned, Badagry ,Nursery/Primary, lapyshlanbdg@lagosschoolsonline.com," 0803 404 0218, 0807 456 9142","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/427"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Ibasa",State owned,Amuwo-Odofin,Nursery/Primary, laprysch@lagosschoolsonline.com," 0803 227 4896,   0803 697 7954","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/207"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Igbologun",State owned,Amuwo-Odofin,Nursery/Primary, laigbologun@lagosschoolsonline.com, 0806 034 2897,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/204"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Ipara",State owned, Badagry ,Nursery/Primary, lapchipara@lagosschoolsonline.com," 0807 309 9004,0807 624 9427","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/426"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Iyafin",State owned, Badagry ,Nursery/Primary, lapryiyafin@lagosschoolsonline.com, 0805 506 0278/0806 702 1258,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/424"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Keta-West",State owned, Badagry ,Nursery/Primary, lapsketawest@lagosschoolsonline.com, 0805 230 9964/0807 456 9153,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/429"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Kirikiri Town",State owned,Amuwo-Odofin,Nursery/Primary, lapryschkk1@lagosschoolsonline.com," 0803 718 6972,0802 320 8965","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/208"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Mowo",State owned, Badagry ,Nursery/Primary, laprymowoage@lagosschoolsonline.com," 0802 506 8747, 0807 456 9157","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/428"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL,  Surulere",State owned,Surulere,Nursery/Primary, localauthorityschool@lagosschoolsonline.com," 0815 909 2269, 0803 408 7031","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2056"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Ajegunle",State owned,Ajeromi LGA,Nursery/Primary, laajegunle@lagosschoolsonline.com, 08033053426,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/80"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Ajido",State owned, Badagry ,Nursery/Primary, lapryajido@lagosschoolsonline.com," 0808 371 9677,0803 407 2532","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/420"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Araromi",State owned,Ajeromi LGA,Nursery/Primary, Laararomi@lagosschoolsonline.com, 08033074097,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2233"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Ibereko",State owned, Badagry ,Nursery/Primary, lapryibereko@lagosschoolsonline.com, 0803 727 4258,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/423"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Layeni",State owned,Ajeromi LGA,Nursery/Primary, nud2aiyetoro@lagosschoolsonline.com, 08084749807,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/79"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Okogbo/Moba",State owned, Badagry ,Nursery/Primary, laokogbomoba@lagosschoolsonline.com," 0805 412 9342, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/430"",""Read more"")"
"LOCAL AUTHORITY PRIMARY SCHOOL, Topo-Dale",State owned, Badagry ,Nursery/Primary, latopoidale@lagosschoolsonline.com," 0802 504 3274,  0807 456 9165","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2199"",""Read more"")"
"LOCAL GOVERNMENT CENTRAL SCHOOL, Agbowa-Ikosi",State owned,Epe,Nursery/Primary, , 0803 248 3879,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2755"",""Read more"")"
"LOCAL GOVERNMENT MODEL NUR  PRY SCHOOL, Agric Ojo",State owned,Ojo,Nursery/Primary, modelagric23@lagosschoolsonline.com," 0802 371 1389,  0807 456 9553","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10745"",""Read more"")"
"LOCAL GOVERNMENT NUR & PRY SCH 2, Igando Rd",State owned,Alimosho,Nursery/Primary, localgovtprysch2igando@lagosschoolsonline.com," 0802 530 1708,   0807 456 5713","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9967"",""Read more"")"
"LOCAL GOVERNMENT NUR/PRY SCHL, Oworo  ",State owned,Kosofe,Nursery/Primary, localgov@lagosschoolsonline.com, 0803 078 6124,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1187"",""Read more"")"
"LOCAL GOVERNMENT NUR/PRY. SCHOOL, Orile-Osodi",State owned,Oshodi-Isolo,Nursery/Primary, locgovpryosh@lagosschoolsonline.com, 0807 456 3146,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2592"",""Read more"")"
"LOCAL GOVERNMENT NURSERY & PRIMARY SCHOOL, Egbe",State owned,Alimosho,Nursery/Primary, localgovtpryschegbe@lagosschoolsonline.com," 0802-758-8271,0703 131 6728","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9246"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL 1,  Ikotun",State owned,Alimosho,Nursery/Primary, ," 0807 456 0149, 0807 456 0034","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/175"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL 1, Egan",State owned,Alimosho,Nursery/Primary, localgovtprysch1egan@lagosschoolsonline.com	," 0807 456 0254,  0802 530 9923","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9320"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL I & INCLUSIVE UNIT, Igando",State owned,Alimosho,Nursery/Primary, lgnpsch1igando@lagosschoolsonline.com," 0803-849-3850,0807 456 0067","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9241"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL I, Agbado",State owned,Alimosho,Nursery/Primary, localprysch1agbado@lagosschoolsonline.com," 0802-940-1266, 0803 426 0618","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9228"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL I, Ijegun",State owned,Alimosho,Nursery/Primary, localgovtsch1@lagosschoolsonline.com," 0807 456 0134, 0802 678 5977","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9236"",""Read more"")"
LOCAL GOVERNMENT PRIMARY SCHOOL II Egan,State owned,Alimosho,Nursery/Primary, localgovtprysch2egan@lagosschoolsonline.com,   0802 567 9033,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9319"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL II, Agbado",State owned,Alimosho,Nursery/Primary, lgsch2agbado@lagosschoolsonline.com," 0802-330-3830,0807  456   0175","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9232"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL II, Ijegun",State owned,Alimosho,Nursery/Primary, localgovtsch2@lagosschoolsonline.com, 0803-401-2731,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9262"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL II, Ikotun",State owned,Alimosho,Nursery/Primary, localgovtprysch2ikotun@lagosschoolsonline.com," 0807 456 0187,   0802 713 6989","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9299"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL,  Agege",State owned,Agege,Nursery/Primary, localgovtprysch@lagosschoolsonline.com, 08037124668,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/38"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL,  Iseri - Osun",State owned,Alimosho,Nursery/Primary, isheriosunlg59@lagosschoolsonline.com," 0802-340-5208,0803 380 6432","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/156"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Abejoye",State owned,Epe,Nursery/Primary, lgpryabejoye@lagosschoolsonline.com, 0805 924 4966,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2736"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Idimu",State owned,Alimosho,Nursery/Primary, localgovtidimu@lagosschoolsonline.com, 0802 319 5121,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2877"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Igbogun",State owned,Epe,Nursery/Primary, lgovtigbogun@lagosschoolsonline.com, 0803 494 9299,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2679"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Ikeja",State owned, Ikeja,Nursery/Primary, localgovern@lagosschoolsonline.com," 0807 457 3272, 0807 457 3263","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2474"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Ilege",State owned, Ibeju-Lekki,Nursery/Primary, lgpryschlilege@lagosschoolsonline.com," 0705 752 7169, 0813 452 4306","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10767"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Ipesu",State owned,Epe,Nursery/Primary, lgschipesu@lagosschoolsonline.com," 0805 431 0033,0806 606 2505","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10141"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Isan",State owned,Epe,Nursery/Primary, lgovtisan@lagosschoolsonline.com, 08033246014,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2733"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Ito-Omu",State owned,Epe,Nursery/Primary, lgovtitoomu@lagosschoolsonline.com, 0702 600 3142,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2737"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Megbon",State owned, Mushin,Nursery/Primary, megbon4musin@lagosschoolsonline.com, 0802 359 7709,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12336"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Obada",State owned,Epe,Nursery/Primary, lgpryschbada@lagosschoolsonline.com, 0803 392 5833,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2745"",""Read more"")"
"LOCAL GOVERNMENT PRIMARY SCHOOL, Yegunda",State owned,Epe,Nursery/Primary, lgpryyegunde@lagosschoolsonline.com," 0805 356 4152,0802 398 9602","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2691"",""Read more"")"
LOCAL GOVERNMENT PRY SCH.  Egan.,State owned,Alimosho,Nursery/Primary, , 0802 530 9923,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1855"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL,   Oreta",State owned,Ikorodu,Nursery/Primary, ," 0802 383 6716, 0815 939 1640","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1118"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL,  Bayeku",State owned,Ikorodu,Nursery/Primary, lgpryoretaa@lagosschoolsonline.com, 0815 939 1634,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1115"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL,  Igbe",State owned,Ikorodu,Nursery/Primary, igpryigbe@lagosschoolsonline.com," 0802 875 6481, 0815 939 1635","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1116"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL,  Imota",State owned,Ikorodu,Nursery/Primary, igpryimota@lagosschoolsonline.com," 0802 843 8934, 0815 939 1636","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1117"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL,  Ipakodo",State owned,Ikorodu,Nursery/Primary, lgpryipakodo@lagosschoolsonline.com," 0815 939 1638, 0808 496 4861","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1119"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL,  Majidun",State owned,Ikorodu,Nursery/Primary, localgovmaji@lagosschoolsonline.com," 0802 838 6158, 0815 939 1639","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1120"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHL, Ijegun",State owned,Alimosho,Nursery/Primary, , 0803 454 1564,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/152"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHOOL,   Isiwu",State owned,Ikorodu,Nursery/Primary, lgpryisiwu@lagosschoolsonline.com," 0815 939 1637, 0815 937 1637","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1975"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHOOL,  Abomiti",State owned,Epe,Nursery/Primary, lgovtschmiti@lagosschoolsonline.com, 0802 253 3372,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2571"",""Read more"")"
"LOCAL GOVERNMENT PRY SCHOOL,  Oguntedo",State owned,Epe,Nursery/Primary, lgoguntedo@lagosschoolsonline.com, 0805-044-4518,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2569"",""Read more"")"
